base_month;account_id;account_status;feature_status;segment;region;service_level;consumption;cost;revenue
01/01/2024;1299;Assinante;Trial;C;SP;0.851;68,00;19,72;0,00
01/01/2024;14421;Assinante;Trial;C;SP;0.8;146,00;42,34;0,00
01/01/2024;91587;Assinante;Trial;C;PB;0.834;195,00;56,55;0,00
01/01/2024;169968;Assinante;Trial;C;RJ;0.826;11,00;3,19;0,00
01/01/2024;212574;Assinante;Trial;C;SP;0.834;6,00;17399999999999900,00;0,00
01/01/2024;300162;Assinante;Trial;C;SP;0.834;21,00;6,09;0,00
01/01/2024;321600;Assinante;Trial;C;PB;0.821;31,00;8,99;0,00
01/01/2024;324327;Assinante;Trial;C;SP;0.83;62,00;17,98;0,00
01/01/2024;342201;Assinante;Trial;C;SP;0.826;54,00;15659999999999900,00;0,00
01/01/2024;364476;Assinante;Trial;C;RJ;0.868;29,00;8,41;0,00
01/01/2024;429249;Assinante;Trial;C;SP;0.817;3,00;0,87;0,00
01/01/2024;454008;Assinante;Trial;C;MG;0.8;19,00;5,51;0,00
01/01/2024;498855;Assinante;Trial;C;PB;0.838;17,00;4,93;0,00
01/01/2024;609231;Assinante;Trial;C;RJ;0.86;10,00;2,90;0,00
01/01/2024;756408;Assinante;Trial;C;RJ;0.843;25,00;7249999999999990,00;0,00
01/01/2024;882552;Assinante;Trial;C;CE;0.821;30,00;8,70;0,00
01/01/2024;1382970;Assinante;Trial;B;PB;0.881;128,00;37,12;0,00
01/01/2024;1455330;Assinante;Trial;C;PB;0.83;25,00;7249999999999990,00;0,00
01/01/2024;1558578;Assinante;Trial;C;SP;0.847;44,00;12,76;0,00
01/01/2024;1566651;Assinante;Trial;C;SP;0.864;26,00;7539999999999990,00;0,00
01/01/2024;1874586;Assinante;Trial;B;CE;0.86;441,00;127,89;0,00
01/01/2024;1956207;Assinante;Trial;C;PB;0.889;28,00;8,12;0,00
01/01/2024;2021412;Assinante;Trial;C;SP;0.847;62,00;17,98;0,00
01/01/2024;2117991;Assinante;Trial;B;SP;0.851;32,00;9,28;0,00
01/01/2024;2138025;Assinante;Trial;C;SP;0.834;3,00;0,87;0,00
01/01/2024;2158329;Assinante;Trial;C;PB;0.885;15,00;4,35;0,00
01/01/2024;2176230;Assinante;Trial;C;RJ;0.83;22,00;6,38;0,00
01/01/2024;2335773;Assinante;Trial;C;PB;0.813;52,00;15079999999999900,00;0,00
01/01/2024;2398251;Assinante;Trial;C;CE;0.843;34,00;9,86;0,00
01/01/2024;2459838;Assinante;Trial;C;SP;0.817;37,00;10,73;0,00
01/01/2024;2508681;Assinante;Trial;C;RJ;0.885;13,00;3,77;0,00
01/01/2024;2605827;Assinante;Trial;C;SP;0.847;27,00;7829999999999990,00;0,00
01/01/2024;2621217;Assinante;Trial;C;RJ;0.851;91,00;26,39;0,00
01/01/2024;2625267;Assinante;Trial;B;SP;0.868;50,00;14499999999999900,00;0,00
01/01/2024;2629047;Assinante;Trial;C;RJ;0.826;31,00;8,99;0,00
01/01/2024;2629776;Assinante;Trial;C;RJ;0.821;37,00;10,73;0,00
01/01/2024;2874153;Assinante;Trial;C;MG;0.868;8,00;2,32;0,00
01/01/2024;2903124;Assinante;Trial;C;RJ;0.864;138,00;40,02;0,00
01/01/2024;3093933;Assinante;Trial;B;MG;0.843;20,00;5,80;0,00
01/01/2024;3338607;Assinante;Trial;C;PB;0.855;10,00;2,90;0,00
01/01/2024;3341631;Assinante;Trial;C;RJ;0.834;11,00;3,19;0,00
01/01/2024;3359721;Assinante;Trial;C;MG;0.838;13,00;3,77;0,00
01/01/2024;3382050;Assinante;Trial;C;MG;0.826;32,00;9,28;0,00
01/01/2024;3403542;Assinante;Trial;B;CE;0.804;397,00;115,13;0,00
01/01/2024;3455868;Assinante;Trial;C;SP;0.872;94,00;27,26;0,00
01/01/2024;3572886;Assinante;Trial;C;PB;0.843;16,00;4,64;0,00
01/01/2024;3608607;Assinante;Trial;C;SP;0.855;15,00;4,35;0,00
01/01/2024;3633366;Assinante;Trial;C;SP;0.885;33,00;9,57;0,00
01/01/2024;3686664;Assinante;Trial;C;SP;0.826;68,00;19,72;0,00
01/01/2024;3752598;Assinante;Trial;C;PB;0.851;26,00;7539999999999990,00;0,00
01/01/2024;4196856;Assinante;Trial;C;PB;0.868;7,00;2,03;0,00
01/01/2024;4208655;Assinante;Trial;C;MG;0.821;11,00;3,19;0,00
01/01/2024;4249047;Assinante;Trial;C;SP;0.817;31,00;8,99;0,00
01/01/2024;4251720;Assinante;Trial;C;SP;0.796;6,00;17399999999999900,00;0,00
01/01/2024;4499148;Assinante;Trial;C;MG;0.847;48,00;13919999999999900,00;0,00
01/01/2024;4529550;Assinante;Trial;C;RJ;0.847;17,00;4,93;0,00
01/01/2024;4612440;Assinante;Trial;C;MG;0.855;38,00;11,02;0,00
01/01/2024;4839645;Assinante;Trial;C;PB;0.851;31,00;8,99;0,00
01/01/2024;5227203;Assinante;Trial;C;SP;0.868;45,00;13,05;0,00
01/01/2024;5392470;Assinante;Trial;C;RJ;0.813;49,00;14,21;0,00
01/01/2024;5631555;Assinante;Trial;B;PB;0.838;125,00;36,25;0,00
01/01/2024;5717118;Assinante;Trial;C;SP;0.83;2,00;0,58;0,00
01/01/2024;5740419;Assinante;Trial;C;SP;0.838;71,00;20,59;0,00
01/01/2024;5790774;Assinante;Trial;C;SP;0.851;31,00;8,99;0,00
01/01/2024;5882250;Assinante;Trial;C;SP;0.851;44,00;12,76;0,00
01/01/2024;5935305;Assinante;Trial;C;PB;0.834;374,00;108,46;0,00
